L1D-size	L1D-assoc	L1I-size	L1I-assoc	L2-size		L2-assoc	CLS	system.cpu.cpi	
32	2	16	2	2	8	64	2.623140	
64	1	32	1	2	4	64	2.638071	
64	2	32	2	2	8	32	3.921536	
64	2	32	2	2	8	64	2.623555	
64	2	32	2	2	8	128	1.990434	
64	2	32	2	4	8	64	2.621073	
64	4	32	4	2	16	64	2.623150	
128	2	64	2	2	8	64	2.623565	
128	4	64	4	2	8	64	2.623555	
128	4	64	4	2	8	128	1.990373	
128	4	128	4	2	8	128	1.990373	
128	8	64	8	2	8	64	2.623555	
128	4	64	4	2	8	256	1.990539	
128	4	64	4	4	8	128	2.576571	
64	2	32	2	1	8	64	3.495281	
64	2	32	2	2	8	256	1.990565	
