L1D-size	L1D-assoc	L1I-size	L1I-assoc	L2-size		L2-assoc	CLS	system.cpu.cpi	
16	2	8	2	0.25	8	128	4.976038	
16	2	8	2	0.25	8	256	3.715863	
16	2	8	2	0.5	8	64	7.041117	
16	2	8	2	0.5	8	256	3.715484	
32	2	16	2	2	8	256	3.715624	
32	4	16	4	0.5	8	32	11.659320
64	1	32	1	2	4	64	7.056733	
64	2	32	2	2	8	32	11.658780	
64	2	32	2	2	8	64	7.040968	
64	2	32	2	2	8	128	4.974909	
64	2	32	2	4	8	64	7.039282
64	4	32	4	2	16	64	7.044207
64	4	128	4	4	8	256	3.732418	
128	2	64	2	2	8	64	7.040555	
128	4	64	4	2	8	64	7.040483	
128	4	64	4	2	8	128	4.974735	
128	4	128	4	2	8	128	4.974735	
128	4	128	4	4	8	128	4.972612	
128	8	64	8	2	8	64	7.040555	
32	2	16	2	2	8	64	7.040633	
64	2	32	2	1	8	64	7.041194	
64	2	32	2	2	8	256	3.715489	
