Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
specbzip_L1D(16,4)_L1I(8,4)_L2(4,16)_CL(64)	1.646686	0.020357	0.000194	0.178179
specbzip_L1D(16,4)_L1I(8,4)_L2(512,8)_CL(64)	1.706717	0.020353	0.000195	0.275318
specbzip_L1D(32,2)_L1I(16,2)_L2(2,8)_CL(64)	1.694298	0.017475	0.000066	0.218697
specbzip_L1D(32,4)_L1I(16,4)_L2(4,16)_CL(64)	1.612626	0.016517	0.000073	0.222360
specbzip_L1D(64,1)_L1I(32,1)_L2(2,4)_CL(64)	1.645449	0.017756	0.000086	0.230784
specbzip_L1D(64,2)_L1I(32,2)_L2(2,8)_CL(32)	1.775686	0.017700	0.000074	0.407203
specbzip_L1D(64,2)_L1I(32,2)_L2(2,8)_CL(64)	1.665609	0.014485	0.000060	0.266691
specbzip_L1D(64,2)_L1I(32,2)_L2(2,8)_CL(128)	1.657915	0.014123	0.000051	0.163292
specbzip_L1D(64,2)_L1I(32,2)_L2(4,8)_CL(64)	1.647623	0.014478	0.000060	0.230578
specbzip_L1D(64,4)_L1I(32,4)_L2(2,16)_CL(64)	1.598381	0.013218	0.000067	0.316583
specbzip_L1D(64,4)_L1I(32,4)_L2(4,16)_CL(64)	1.583257	0.013213	0.000067	0.282450
specbzip_L1D(128,2)_L1I(64,2)_L2(2,8)_CL(64)	1.635354	0.011626	0.000055	0.337721
specbzip_L1D(128,4)_L1I(64,4)_L2(2,8)_CL(64)	1.627679	0.010884	0.000054	0.362860
specbzip_L1D(128,4)_L1I(64,4)_L2(2,8)_CL(128)	1.615151	0.009882	0.000042	0.237956
specbzip_L1D(128,4)_L1I(128,4)_L2(2,8)_CL(128)	1.615126	0.009882	0.000041	0.237953
specbzip_L1D(128,4)_L1I(128,4)_L2(4,8)_CL(64)	1.609739	0.010878	0.000054	0.313748
specbzip_L1D(128,8)_L1I(64,8)_L2(2,8)_CL(64)	1.620015	0.010263	0.000054	0.386927
specbzip_L1D(128,8)_L1I(128,8)_L2(4,16)_CL(64)	1.601439	0.010255	0.000054	0.336071
specbzip_L1D(64,2)_L1I(32,2)_L2(1,8)_CL(64)	1.630251	0.014684	0.000074	0.318376
specbzip_L1D(64,2)_L1I(32,2)_L2(2,8)_CL(256)	1.608190	0.015223	0.000054	0.108392
specbzip_L1D(64,4)_L1I(32,4)_L2(2,16)_CL(256)	1.592055	0.013797	0.000041	0.119960
specbzip_L1D(64,4)_L1I(32,4)_L2(4,16)_CL(256)	1.583927	0.013765	0.000041	0.105156
