Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
spechmmer_L1D(32,2)_L1I(16,2)_L2(2,8)_CL(64)	1.189222	0.002368	0.000781	0.051941
spechmmer_L1D(64,1)_L1I(32,1)_L2(2,4)_CL(64)	1.209620	0.003468	0.000624	0.037902
spechmmer_L1D(64,2)_L1I(32,2)_L2(2,8)_CL(32)	1.191317	0.003141	0.000218	0.081729
spechmmer_L1D(64,2)_L1I(32,2)_L2(2,8)_CL(64)	1.184534	0.001638	0.000205	0.082233
spechmmer_L1D(64,2)_L1I(32,2)_L2(2,8)_CL(128)	1.181712	0.000898	0.000259	0.076574
spechmmer_L1D(64,2)_L1I(32,2)_L2(4,8)_CL(64)	1.184534	0.001638	0.000205	0.082233
spechmmer_L1D(64,4)_L1I(32,4)_L2(2,16)_CL(64)	1.184085	0.001593	0.000102	0.086899
spechmmer_L1D(128,2)_L1I(64,2)_L2(2,8)_CL(64)	1.182631	0.000719	0.000102	0.196151
spechmmer_L1D(128,4)_L1I(64,4)_L2(2,8)_CL(64)	1.182121	0.000667	0.000082	0.217930
spechmmer_L1D(128,4)_L1I(64,4)_L2(2,8)_CL(128)	1.179532	0.000374	0.000059	0.206267
spechmmer_L1D(128,4)_L1I(64,4)_L2(2,8)_CL(256)	1.178365	0.000215	0.000044	0.192182
spechmmer_L1D(128,4)_L1I(64,4)_L2(4,16)_CL(128)	1.179532	0.000374	0.000059	0.206267
spechmmer_L1D(128,4)_L1I(128,4)_L2(2,8)_CL(128)	1.179532	0.000374	0.000055	0.207280
spechmmer_L1D(128,8)_L1I(64,4)_L2(2,8)_CL(64)	1.181649	0.000548	0.000082	0.272139
spechmmer_L1D(64,2)_L1I(32,2)_L2(1,8)_CL(64)	1.187362	0.001645	0.000205	0.082246
spechmmer_L1D(64,2)_L1I(32,2)_L2(2,8)_CL(256)	1.182031	0.000563	0.000384	0.059629
spechmmer_L1D(64,4)_L1I(32,4)_L2(2,8)_CL(128)	1.182821	0.000859	0.000095	0.085677
spechmmer_L1D(64,4)_L1I(32,4)_L2(2,8)_CL(128)	1.182821	0.000859	0.000095	0.085677
spechmmer_L1D(128,4)_L1I(32,4)_L2(2,8)_CL(128)	1.181330	0.000376	0.000095	0.198898
