Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
speclibm_L1D(32,2)_L1I(16,2)_L2(2,8)_CL(64)	2.623140	0.060971	0.000108	0.999892
speclibm_L1D(64,1)_L1I(32,1)_L2(2,4)_CL(64)	2.638071	0.061561	0.000113	0.986435
speclibm_L1D(64,2)_L1I(32,2)_L2(2,8)_CL(32)	3.921536	0.121940	0.000091	0.999977
speclibm_L1D(64,2)_L1I(32,2)_L2(2,8)_CL(64)	2.623555	0.060971	0.000099	0.999927
speclibm_L1D(64,2)_L1I(32,2)_L2(2,8)_CL(128)	1.990434	0.030487	0.000122	0.999835
speclibm_L1D(64,2)_L1I(32,2)_L2(4,8)_CL(64)	2.621073	0.060971	0.000104	0.999946
speclibm_L1D(64,4)_L1I(32,4)_L2(2,16)_CL(64)	2.623150	0.060971	0.000094	0.999983
speclibm_L1D(128,2)_L1I(64,2)_L2(2,8)_CL(64)	2.623565	0.060971	0.000096	0.999976
speclibm_L1D(128,4)_L1I(64,4)_L2(2,8)_CL(64)	2.623555	0.060971	0.000086	0.999979
speclibm_L1D(128,4)_L1I(64,4)_L2(2,8)_CL(128)	1.990373	0.030487	0.000097	0.999957
speclibm_L1D(128,4)_L1I(128,4)_L2(2,8)_CL(128)	1.990373	0.030487	0.000096	0.999965
speclibm_L1D(128,8)_L1I(64,8)_L2(2,8)_CL(64)	2.623555	0.060971	0.000086	0.999982
speclibm_L1D(128,4)_L1I(64,4)_L2(2,8)_CL(256)	1.990539	0.015244	0.000083	0.999901
speclibm_L1D(128,4)_L1I(64,4)_L2(4,8)_CL(128)	2.576571	0.030487	0.000097	0.999957
speclibm_L1D(64,2)_L1I(32,2)_L2(1,8)_CL(64)	3.495281	0.060971	0.000099	0.999927
speclibm_L1D(64,2)_L1I(32,2)_L2(2,8)_CL(256)	1.990565	0.015244	0.000118	0.999611
