Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
specmcf_L1D(32,2)_L1I(16,2)_L2(2,8)_CL(64)	1.469198	0.002390	0.059433	0.023445
specmcf_L1D(64,1)_L1I(32,1)_L2(2,4)_CL(64)	1.118466	0.002560	0.004668	0.202505
specmcf_L1D(64,2)_L1I(32,2)_L2(2,8)_CL(64)	1.099667	0.002168	0.000039	0.701190
specmcf_L1D(64,2)_L1I(32,2)_L2(2,8)_CL(32)	1.117471	0.003094	0.000044	0.836402
specmcf_L1D(64,2)_L1I(32,2)_L2(2,8)_CL(128)	1.072646	0.001276	0.000042	0.554544
specmcf_L1D(64,2)_L1I(32,2)_L2(4,8)_CL(64)	1.091092	0.002051	0.000037	0.720964
specmcf_L1D(64,4)_L1I(32,4)_L2(2,16)_CL(64)	1.090521	0.001952	0.000020	0.764178
specmcf_L1D(128,2)_L1I(64,2)_L2(2,8)_CL(64)	1.090129	0.001913	0.000019	0.780518
specmcf_L1D(128,4)_L1I(64,4)_L2(2,8)_CL(64)	1.089742	0.001866	0.000019	0.797806
specmcf_L1D(128,4)_L1I(64,4)_L2(2,8)_CL(128)	1.071351	0.001085	0.000013	0.664389
specmcf_L1D(128,4)_L1I(64,4)_L2(4,8)_CL(128)	1.071267	0.001085	0.000013	0.660887
specmcf_L1D(128,4)_L1I(64,4)_L2(4,16)_CL(128)	1.071267	0.001085	0.000013	0.660887
specmcf_L1D(128,4)_L1I(128,4)_L2(2,8)_CL(128)	1.071351	0.001085	0.000013	0.664456
specmcf_L1D(128,8)_L1I(64,8)_L2(2,8)_CL(64)	1.089662	0.001857	0.000019	0.801627
specmcf_L1D(64,2)_L1I(32,2)_L2(1,8)_CL(64)	1.093448	0.002051	0.000037	0.775969
specmcf_L1D(64,2)_L1I(32,2)_L2(2,8)_CL(256)	1.118754	0.000946	0.008173	0.042457
