Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
specsjeng_L1D(16,2)_L1I(8,2)_L2(256,8)_CL(128)	4.976038	0.060920	0.000020	0.999795
specsjeng_L1D(16,2)_L1I(8,2)_L2(256,8)_CL(256)	3.715863	0.030468	0.000019	0.999311
specsjeng_L1D(16,2)_L1I(8,2)_L2(512,8)_CL(64)	7.041117	0.121847	0.000019	0.999648
specsjeng_L1D(16,2)_L1I(8,2)_L2(512,8)_CL(256)	3.715484	0.030468	0.000019	0.999295
specsjeng_L1D(32,2)_L1I(16,2)_L2(2,8)_CL(256)	3.715624	0.030467	0.000014	0.999494
specsjeng_L1D(32,4)_L1I(16,4)_L2(512,8)_CL(32)	11.659320	0.243655	0.000023	0.999987
specsjeng_L1D(64,1)_L1I(32,1)_L2(2,4)_CL(64)	7.056733	0.122577	0.000016	0.987860
specsjeng_L1D(64,2)_L1I(32,2)_L2(2,8)_CL(32)	11.658780	0.243655	0.000023	0.999981
specsjeng_L1D(64,2)_L1I(32,2)_L2(2,8)_CL(64)	7.040968	0.121831	0.000015	0.999945
specsjeng_L1D(64,2)_L1I(32,2)_L2(2,8)_CL(128)	4.974909	0.060928	0.000011	0.999563
specsjeng_L1D(64,2)_L1I(32,2)_L2(4,8)_CL(64)	7.039282	0.121829	0.000020	0.999979
specsjeng_L1D(64,4)_L1I(32,4)_L2(2,16)_CL(64)	7.044207	0.121829	0.000014	0.999982
specsjeng_L1D(64,4)_L1I(128,4)_L2(4,8)_CL(256)	3.732418	0.030461	0.000006	0.999958
specsjeng_L1D(128,2)_L1I(64,2)_L2(2,8)_CL(64)	7.040555	0.121829	0.000019	0.999988
specsjeng_L1D(128,4)_L1I(64,4)_L2(2,8)_CL(64)	7.040483	0.121829	0.000019	0.999987
specsjeng_L1D(128,4)_L1I(64,4)_L2(2,8)_CL(128)	4.974735	0.060917	0.000012	0.999978
specsjeng_L1D(128,4)_L1I(128,4)_L2(2,8)_CL(128)	4.974735	0.060917	0.000012	0.999979
specsjeng_L1D(128,4)_L1I(128,4)_L2(4,8)_CL(128)	4.972612	0.060917	0.000012	0.999979
specsjeng_L1D(128,8)_L1I(64,8)_L2(2,8)_CL(64)	7.040555	0.121829	0.000018	0.999987
specsjeng_L1D(32,2)_L1I(16,2)_L2(2,8)_CL(64)	7.040633	0.121831	0.000022	0.999944
specsjeng_L1D(64,2)_L1I(32,2)_L2(1,8)_CL(64)	7.041194	0.121829	0.000020	0.999979
specsjeng_L1D(64,2)_L1I(32,2)_L2(2,8)_CL(256)	3.715489	0.030461	0.000011	0.999903
