L1D-size	L1D-assoc	L1I-size	L1I-assoc	L2-size		L2-assoc	CLS	system.cpu.cpi	
16	4	8	4	4	16	64	1.646686	
16	4	8	4	0.5	8	64	1.706717	
32	2	16	2	2	8	64	1.694298	
32	4	16	4	4	16	64	1.612626	
64	1	32	1	2	4	64	1.645449	
64	2	32	2	2	8	32	1.775686	
64	2	32	2	2	8	64	1.665609	
64	2	32	2	2	8	128	1.657915	
64	2	32	2	4	8	64	1.647623	
64	4	32	4	2	16	64	1.598381	
64	4	32	4	4	16	64	1.583257	
128	2	64	2	2	8	64	1.635354	
128	4	64	4	2	8	64	1.627679	
128	4	64	4	2	8	128	1.615151	
128	4	128	4	2	8	128	1.615126	
128	4	128	4	4	8	64	1.609739	
128	8	64	8	2	8	64	1.620015	
128	8	128	8	4	16	64	1.601439
64	2	32	2	1	8	64	1.630251	
64	2	32	2	2	8	256	1.608190	
64	4	32	4	2	16	256	1.592055	
64	4	32	4	4	16	256	1.583927	
