L1D-size	L1D-assoc	L1I-size	L1I-assoc	L2-size		L2-assoc	CLS	system.cpu.cpi	
32	2	16	2	2	8	64	1.189222	
64	1	32	1	2	4	64	1.209620	
64	2	32	2	2	8	32	1.191317	
64	2	32	2	2	8	64	1.184534	
64	2	32	2	2	8	128	1.181712	
64	2	32	2	4	8	64	1.184534	
64	4	32	4	2	16	64	1.184085	
128	2	64	2	2	8	64	1.182631	
128	4	64	4	2	8	64	1.182121	
128	4	64	4	2	8	128	1.179532	
128	4	64	4	2	8	256	1.178365	
128	4	64	4	4	16	128	1.179532	
128	4	128	4	2	8	128	1.179532	
128	8	64	4	2	8	64	1.181649	
64	2	32	2	1	8	64	1.187362	
64	2	32	2	2	8	256	1.182031		
64	4	32	4	2	8	128	1.182821	
128	4	32	4	2	8	128	1.181330	
