L1D-size	L1D-assoc	L1I-size	L1I-assoc	L2-size		L2-assoc	CLS	system.cpu.cpi	
32	2	16	2	2	8	64	1.469198	
64	1	32	1	2	4	64	1.118466	
64	2	32	2	2	8	64	1.099667	
64	2	32	2	2	8	32	1.117471	
64	2	32	2	2	8	128	1.072646	
64	2	32	2	4	8	64	1.091092	
64	4	32	4	2	16	64	1.090521	
128	2	64	2	2	8	64	1.090129	
128	4	64	4	2	8	64	1.089742	
128	4	64	4	2	8	128	1.071351	
128	4	64	4	4	8	128	1.071267	
128	4	64	4	4	16	128	1.071267	
128	4	128	4	2	8	128	1.071351	
128	8	64	8	2	8	64	1.089662	
64	2	32	2	1	8	64	1.093448	
64	2	32	2	2	8	256	1.118754	
