Index	Energy(mJ)	Delay(sec)	AreaCore(mm^2)	AreaL2(mm^2)	PeakPower(W)	Core:PeakDyn	Core:Subth.Leak	Core:GateLeak	L2:PeakDyn	L2:Subth.Leak	L2:GateLeak
1	106.895775	0.118922	4.53951	7.0038	2.96473	1.46624	0.689506	0.00359262	0.539842	0.00472789	0.000571604
2	187.232483	0.120962	7.15183	7.68591	3.83009	1.92264	1.09545	0.0072454	0.539259	0.0046776	0.000568258
3	128.358059	0.119132	5.13381	6.37949	2.22593	0.917255	0.793678	0.00471982	0.245143	0.00445064	0.000433207
4	184.409526	0.118453	7.22483	7.0038	3.86567	1.95501	1.098	0.00726281	0.539842	0.00472789	0.000571604
5	222.857389	0.118171	11.0402	38.4333	9.22886	5.36286	1.18338	0.00728232	2.39516	0.0163995	0.00351474
6	185.071796	0.118453	7.22483	13.3224	3.99078	1.95501	1.098	0.00726281	0.660042	0.00910636	0.00110378
7	160.620926	0.118408	6.85161	7.67752	4.00471	2.28865	0.904051	0.00536875	0.540844	0.00494005	0.000605182	
8	278.328541	0.118263	12.2715	7.0038	5.36199	2.76082	1.78243	0.0133423	0.539842	0.00472789	0.000571604
9	217.700874	0.118212	12.3571	7.0038	4.83902	2.76917	1.25637	0.00808866	0.539842	0.00472789	0.000571604
10	298.227647	0.117953	14.744	38.4333	10.8362	6.73154	1.42054	0.00882021	2.39516	0.0163995	0.00351474
11	603.924052	0.117837	37.14	63.5151	31.9528	21.6444	2.92846	0.0186976	7.05878	0.0342731	0.0079159
12	297.420849	0.117953	14.744	18.5821	10.1693	6.73154	1.42054	0.00882021	1.73437	0.0119662	0.00183058
13	314.553522	0.117953	17.0885	38.4333	11.9513	7.70821	1.55815	0.00964531	2.39516	0.0163995	0.00351474
14	208.239580	0.118165	9.27125	7.0038	4.98938	3.09368	1.0839	0.00640839	0.539842	0.00472789	0.000571604
15	92.210912	0.059368	7.22483	4.1658	3.75956	1.95501	1.098	0.00726281	0.435844	0.00278925	0.000397114
16	214.929151	0.059102	26.8722	63.5151	27.2066	17.4431	2.38722	0.0150925	7.05878	0.0342731	0.0079159
17	117.342663	0.059141	12.2792	38.4333	9.98184	6.02895	1.26959	0.00797046	2.39516	0.0163995	0.00351474
19	148.465344	0.059066	14.8582	38.4333	10.8518	6.76045	1.40719	0.00879556	2.39516	0.0163995	0.00351474

