Index	Energy(mJ)	Delay(sec)	AreaCore(mm^2)	AreaL2(mm^2)	PeakPower(W)	Core:PeakDyn	Core:Subth.Leak	Core:GateLeak	L2:PeakDyn	L2:Subth.Leak	L2:GateLeak
1	230.186568	0.262314	4.53951	7.0038	2.96473	1.46624	0.689506	0.00359262	0.539842	0.00472789	0.000571604
2	374.001558	0.263807	7.15183	7.68591	3.83009	1.92264	1.09545	0.0072454	0.539259	0.0046776	0.000568258	
3	389.154414	0.392154	5.13381	6.37949	2.22593	0.917255	0.793678	0.00471982	0.245143	0.00445064	0.000433207
4	373.118133	0.262355	7.22483	7.0038	3.86567	1.95501	1.098	0.00726281	0.539842	0.00472789	0.000571604
5	351.543775	0.199043	11.0402	38.4333	9.22886	5.36286	1.18338	0.00728232	2.39516	0.0163995	0.00351474
6	374.979186	0.262107	7.22483	13.3224	3.99078	1.95501	1.098	0.00726281	0.660042	0.00910636	0.00110378
7	322.209384	0.262315	6.85161	7.67752	4.00471	2.28865	0.904051	0.00536875	0.540844	0.00494005	0.000605182
8	569.651294	0.262357	12.2715	7.0038	5.36199	2.76082	1.78243	0.0133423	0.539842	0.00472789	0.000571604
9	432.920643	0.262355	12.3571	7.0038	4.83902	2.76917	1.25637	0.00808866	0.539842	0.00472789	0.000571604
10	454.080424	0.199037	14.744	38.4333	10.8362	6.73154	1.42054	0.00882021	2.39516	0.0163995	0.00351474
11	475.591149	0.199037	17.0885	38.4333	11.9513	7.70821	1.55815	0.00964531	2.39516	0.0163995	0.00351474
12	401.221600	0.262355	9.27125	7.0038	4.98938	3.09368	1.0839	0.00640839	0.539842	0.00472789	0.000571604
13	455.960059	0.099527	37.14	63.5151	31.9528	21.6444	2.92846	0.0186976	7.05878	0.0342731	0.0079159
14	269.107291	0.128829	14.744	17.2367	10.1681	6.73154	1.42054	0.00882021	1.73337	0.011754	0.00179701	
15	237.003402	0.174764	7.22483	4.1658	3.75956	1.95501	1.098	0.00726281	0.435844	0.00278925	0.000397114
16	336.343928	0.099528	26.8722	63.5151	27.2066	17.4431	2.38722	0.0150925	7.05878	0.0342731	0.0079159

