Index	Energy(mJ)	Delay(sec)	AreaCore(mm^2)	AreaL2(mm^2)	PeakPower(W)	Core:PeakDyn	Core:Subth.Leak	Core:GateLeak	L2:PeakDyn	L2:Subth.Leak	L2:GateLeak
1	188.226382	0.164669	5.90314	13.1532	3.73667	1.9861	0.81336	0.00480246	0.661819	0.00921368	0.00112022
2	189.832321 	0.170672	5.90314	2.12555	3.43505	1.9861	0.81336	0.00480246	0.368854	0.00148306	0.000201415
3	150.468242	0.169430	4.53951	7.0038	2.96473	1.46624	0.689506	0.00359262	0.539842	0.00472789	0.000571604
4	192.075360	0.161263	6.14427	13.1532	3.87927	2.10189	0.840001	0.00497477	0.661819	0.00921368	0.00112022
5	248.220246	0.164545	7.15183	7.68591	3.83009	1.92264	1.09545	0.0072454	0.539259	0.0046776	0.000568258
6	185.701660	0.177569	5.13381	6.37949	2.22593	0.917255	0.793678	0.00471982	0.245143	0.00445064	0.000433207
7	254.698419	0.166561	7.22483	7.0038	3.86567	1.95501	1.098	0.00726281	0.539842	0.00472789	0.000571604
8	316.743792	0.165792	11.0402	38.4333	9.22886	5.36286	1.18338	0.00728232	2.39516	0.0163995	0.00351474
9	254.154612	0.164762	7.22483	13.3224	3.99078	1.9550	1.098	0.00726281	0.660042	0.00910636	0.00110378
10	210.811297	0.159838	6.85161	7.67752	4.00471	2.28865	0.904051	0.00536875	0.540844	0.00494005	0.000605182
11	210.672534	0.158326	6.85161	13.1532	4.13048	2.28865	0.904051	0.00536875	0.661819	0.00921368	0.00112022
12	380.176683	0.163535	12.2715	7.0038	5.36199	2.76082	1.78243	0.0133423	0.539842	0.00472789	0.000571604
13	295.050367	0.162768	12.3571	7.0038	4.83902	2.76917	1.25637	0.00808866	 0.539842	0.00472789	0.000571604
14	407.799533	0.161515	14.744	38.4333	10.8362	6.73154	1.42054	0.00882021	2.39516	0.0163995	0.00351474
15	430.155958	0.161513	17.0885	38.4333	11.9513	7.70821	1.55815	0.00964531	2.39516	0.0163995	0.00351474
16	341.904913	0.160974	16.8209	13.3224	5.59844	3.09898	1.55846	0.0104946	0.660042	0.00910636	0.00110378
17	280.098056	0.162002	9.27125	7.0038	4.98938	3.09368	1.0839	0.00640839	0.539842	0.00472789	0.000571604
18	293.128378	0.160144	10.408	13.1532	5.62191	3.51017	1.17252	0.00681165	0.661819	0.00921368	0.00112022
19	245.501467	0.163025	7.22483	4.1658	3.75956	1.95501 1.098	0.00726281	0.435844	0.00278925	0.000397114
20	603.302829	0.160819	26.8722	63.5151	27.2066	17.4431	2.38722 0.0150925	7.05878	0.0342731	0.0079159
21	820.031897	0.159206	38.087	63.4759	32.2799	21.9569	2.92676	0.0188452	7.07491	0.034368	0.00792922
22	824.655731	0.158393	38.0871	83.6797	32.9552	21.9569	2.92676	0.0188452	7.74022	0.0428605	0.00939029

